old|new|isSyntactic|Hamming|Levenshtein|OSA|Jaro|Jaro-Winkler|LCS|Jaccard|NGram|Cosine|Sørensen–Dice|Hamming|Reversed Hamming|Levenshtein|OSA|Jaro|Jaro-Winkler|LCS|Jaccard|NGram|Cosine|Sørensen–Dice
clica no botao Voltar|clica no botao 'Voltar'|1|0.34782608695652173|0.08695652173913043|0.08695652173913043|0.02898550724637683|0.010081915563957211|0.08695652173913049|0.08333333333333337|0.13043478260869565|0.037049987137064755|0.10526315789473684|1|1|1|1|1|1|1|1|1|1
clica no botao Cancelar|clica no botao 'Cancelar'|1|0.4|0.08|0.08|0.026666666666666727|0.010666666666666713|0.07999999999999996|0.07692307692307687|0.12|0.03334275489799543|0.09090909090909094|1|1|1|1|1|1|1|1|1|1
preenche dados obrigatorios e clica em Atualizar|preenche dados obrigatorios e clica em 'Atualizar'|1|0.22|0.04|0.04|0.013333333333333308|0.0029333333333333433|0.040000000000000036|0.04761904761904767|0.06|0.01169630879647543|0.04761904761904767|1|1|1|1|1|1|1|1|1|1
preenche um Tipo de Mercadoria valido e clica em Atualizar|preenche um Tipo de Mercadoria valido e clica em 'Atualizar'|1|0.18333333333333332|0.03333333333333333|0.03333333333333333|0.011111111111111072|0.0020370370370370594|0.033333333333333326|0.04761904761904767|0.05|0.007326105987462417|0.04255319148936165|1|1|1|1|1|1|1|1|1|1
preenche um NCM valido e clica em Atualizar|preenche um NCM valido e clica em 'Atualizar'|1|0.24444444444444444|0.044444444444444446|0.044444444444444446|0.014814814814814725|0.0036213991769546983|0.0444444444444444|0.045454545454545414|0.06666666666666667|0.013889563434476004|0.05405405405405406|1|1|1|1|1|1|1|1|1|1
clica no opcao 'E-commerces' no menu principal|clica no opcao 'Ecommerces' no menu principal|1|0.6086956521739131|0.021739130434782608|0.021739130434782608|0.007246376811594235|0.0045683679899181096|0.021739130434782594|0.0625|0.043478260869565216|0.0028777038079940143|0.038961038961038974|1|1|1|1|1|1|1|1|1|1
exibe a tela com a lista de E-commerces cadastrados no sistema|exibe a tela com a lista de Ecommerces cadastrados no sistema|1|0.5161290322580645|0.016129032258064516|0.016129032258064516|0.005376344086021501|0.00286160249739853|0.016129032258064502|0.05882352941176472|0.03225806451612903|0.0014545462244526242|0.032258064516129004|1|1|1|1|1|1|1|1|1|1
clica em um dos E-commerces listados|clica em um dos Ecommerces listados|1|0.5|0.027777777777777776|0.027777777777777776|0.00925925925925919|0.004886831275720094|0.02777777777777779|0.06666666666666665|0.05555555555555555|0.004474295373831816|0.05084745762711862|1|1|1|1|1|1|1|1|1|1
exibe tela com informacões de E-commerce|exibe tela com informacões de Ecommerce|1|0.2|0.025|0.025|0.008333333333333304|0.00187499999999996|0.025000000000000022|0.052631578947368474|0.05|0.0036297760428577464|0.04225352112676062|1|1|1|1|1|1|1|1|1|1
clica no botao Voltar|clica no botao 'Voltar'|1|0.34782608695652173|0.08695652173913043|0.08695652173913043|0.02898550724637683|0.010081915563957211|0.08695652173913049|0.08333333333333337|0.13043478260869565|0.037049987137064755|0.10526315789473684|1|1|1|1|1|1|1|1|1|1
clica no botao Cancelar de registro de operador|clica no botao 'Cancelar' de registro de operador|1|0.6938775510204082|0.04081632653061224|0.04081632653061224|0.013605442176870763|0.009440510898236831|0.04081632653061229|0.05882352941176472|0.08163265306122448|0.009901233965791234|0.0714285714285714|1|1|1|1|1|1|1|1|1|1
informa que o campo é obrigatorio|informa que o campo e obrigatorio|1|0.030303030303030304|0.030303030303030304|0.030303030303030304|0.02020202020202022|0.007958371594735225|0.030303030303030276|0.05882352941176472|0.030303030303030304|0.009569598127974865|0.054545454545454564|1|1|1|1|1|1|1|1|1|1
Clicar na opcao 'Compatibildiade' no menu da tela principal|clica na opcao 'Compatibilidades' no menu da tela principal|1|0.4576271186440678|0.0847457627118644|0.0847457627118644|0.045990682921994264|0.045990682921994264|0.05084745762711862|0.05555555555555558|0.1370056497175141|0.0071878214417594455|0.1089108910891089|1|1|1|1|1|1|1|1|1|1
exibe a tela de listagem das Compatibilidades|apresenta uma listagem dos Compatibilidades cadastrados no sistema|1|0.9545454545454546|0.5454545454545454|0.5454545454545454|0.3225589225589225|0.31849388190851613|0.48484848484848486|0.26315789473684215|0.5833333333333334|0.08748545222779358|0.32558139534883723|0|1|1|0|0|1|1|0|1|1
clica em Compatibilidade listada|clica em algum dos Compatibilidades listados|1|0.75|0.29545454545454547|0.29545454545454547|0.20028409090909083|0.1551738980716253|0.2954545454545454|0.125|0.3125|0.05974796851182296|0.17460317460317465|1|1|1|1|1|1|1|1|1|1
exibe a tela de edicao de Compatibilidade|abre a tela de edicao de Compatibilidade|1|1.0|0.0975609756097561|0.0975609756097561|0.20333761232349168|0.19895164741121096|0.07317073170731703|0.1333333333333333|0.13414634146341464|0.013760585204881659|0.09090909090909094|0|1|1|1|1|1|1|1|1|1
clica em botao 'Deletar'|clica no botao de 'Excluir'|1|0.5185185185185185|0.4074074074074074|0.4074074074074074|0.22222222222222232|0.16563786008230463|0.37037037037037035|0.38888888888888884|0.4166666666666667|0.15146418000791018|0.4347826086956522|1|1|1|1|1|1|0|1|0|1
abre popup de confirmacao de delecao|exibe popup pedindo Confirmacao de delecao|1|0.9761904761904762|0.2619047619047619|0.2619047619047619|0.2507215007215008|0.2507215007215008|0.23809523809523814|0.11764705882352944|0.30952380952380953|0.044837434613463456|0.2786885245901639|0|1|1|1|0|1|1|1|1|1
confirma que deseja deletar clicando em 'Sim'|confirma delecao|1|0.8|0.6444444444444445|0.6444444444444445|0.2773148148148148|0.22185185185185186|0.6444444444444444|0.368421052631579|0.6722222222222223|0.13620785755937592|0.5357142857142857|1|0|0|1|1|0|0|0|0|0
notifica usuario que os nova Compatibilidade foi deletada com sucesso|notifica que o Compatibilidade foi excluido com sucesso|1|0.8405797101449275|0.30434782608695654|0.30434782608695654|0.2120574075455126|0.18166326387605414|0.2753623188405797|0.1428571428571429|0.32608695652173914|0.034398937838247434|0.2149532710280374|1|1|1|1|1|1|1|1|1|1
lista o conjunto de ecommerce cadastrados no sistema|apresenta uma listagem dos Ecommerces cadastrados no sistema|1|0.9833333333333333|0.35|0.35|0.27094017094017087|0.2673940716493908|0.33333333333333337|0.2222222222222222|0.42083333333333334|0.05250755386448014|0.2727272727272727|0|1|1|1|0|1|1|1|1|1
clica em um dos ecommerce listados|clica em algum dos Ecommerces listados|1|0.7105263157894737|0.13157894736842105|0.13157894736842105|0.13952215655002043|0.10262310246015638|0.13157894736842102|0.1333333333333333|0.18421052631578946|0.02455635069691353|0.16666666666666663|1|1|1|1|1|1|1|1|1|1
apresenta tela de edicao de Ecommerce|abre a tela de edicao de Ecommerce|1|0.8108108108108109|0.13513513513513514|0.13513513513513514|0.12715288818229986|0.12371632363683227|0.1351351351351351|0.25|0.15765765765765766|0.024410512628296854|0.16666666666666663|1|1|1|1|1|1|1|1|1|1
clica em botao de 'Remover' na tela de edicao|clica no botao de 'Excluir'|1|0.5777777777777777|0.5777777777777777|0.5777777777777777|0.2775630703166936|0.2342744677044194|0.5777777777777777|0.3157894736842105|0.5611111111111111|0.16519817363299505|0.4137931034482759|1|1|1|1|1|0|1|1|0|1
exibe popup de confirmacao|exibe popup pedindo Confirmacao de delecao|1|0.6904761904761905|0.42857142857142855|0.42857142857142855|0.1782661782661782|0.12733298447584152|0.4285714285714286|0.11764705882352944|0.44047619047619047|0.04617903352346797|0.24137931034482762|1|1|1|1|1|1|1|1|1|1
confirma delecao de Ecommerce|confirma delecao|1|0.4482758620689655|0.4482758620689655|0.4482758620689655|0.14942528735632177|0.06698374950455799|0.4482758620689655|0.07692307692307687|0.4482758620689655|0.07010437018289994|0.25|1|1|1|1|1|1|1|1|1|1
